"filename", "language", "YAML", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\LoginScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 16, 89
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\OrderScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 231, 0, 0, 13, 23, 267
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\PaymentScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 9, 60
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\PlaceOrderScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 10, 156
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\ProductScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 214, 0, 0, 1, 16, 231
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\ProfileScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 15, 163
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\RegisterScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 17, 114
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\ShippingScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 11, 87
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\admin\OrderListScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 4, 71
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\admin\ProductEditScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 0, 19, 190
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\admin\ProductListScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 10, 116
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\admin\UserEditScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 12, 107
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\admin\UserListScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 6, 95
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\slices\apiSlice.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\slices\authSlice.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 2, 6, 32
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\slices\cartSlice.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 4, 8, 61
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\slices\ordersApiSlice.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 3, 62
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\slices\productsApiSlice.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 0, 3, 74
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\slices\usersApiSlice.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 3, 73
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\store.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\utils\cartUtils.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 5, 7, 29
"c:\Users\Developer\Desktop\My Projects\proshop-v2\package-lock.json", "JSON", 0, 0, 4228, 0, 0, 0, 0, 0, 1, 4229
"c:\Users\Developer\Desktop\My Projects\proshop-v2\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Developer\Desktop\My Projects\proshop-v2\pnpm-lock.yaml", "YAML", 1334, 0, 0, 0, 0, 0, 0, 0, 235, 1569
"c:\Users\Developer\Desktop\My Projects\proshop-v2\readme.md", "Markdown", 0, 332, 0, 0, 0, 0, 0, 2, 110, 444
"Total", "-", 1343, 370, 22076, 1435, 2116, 11289, 16, 202, 1714, 40561
